id,term,preg_alt,resp_alt
3oclock,three o'clock,What time is it?,It's three o'clock.
7oclock,seven o'clock,What time is it?,It's seven o'clock.
athlete,athlete,What does he do?,He is an athlete.
beach,beach,,It's a beach.
bell,bell,,It's a bell.
balloons,balloons,What are these?,These are balloons.
candle,candle,,It's a candle.
cake,cake,,It's a cake.
christmas,christmas decorations,What are these?,These are christmas decorations.
dance,dance,What is she doing?,She is dancing.
easter,easter eggs,What are these?,These are easter eggs.
flag,peruvian flag,,It's the peruvian flag.
flowers,flowers,What are these?,These are flowers.
jump,to jump,What is he doing?,He is jumping.
medal,medal,,It's a medal.
music,music,What is this?,It's music.
nativity,nativity,,It's a nativity scene.
noon,noon,What time is it?,It's noon.
net,net,,It's a net.
present,present,,It's a present.
race,to race,What are they doing?,They are racing.
wash,to wash,What is he doing?,He is washing.
